id,cattle_id,event_type,disease_name,medicine_name,application_date,administration_route,next_dose_date,treatment_end_date,dosage,veterinarian_name,notes,created_at,updated_at
5927f2b8-9175-4bab-8738-a9bfe179ed77,a0babefa-4124-41bc-a5bf-9cf851c7dcbd,illness,Parasitosis,,2024-07-12,,,,,,,2025-12-14 22:33:42.588639,2025-12-14 22:33:42.588639
0e048143-4e71-4bca-beac-5a8113b0706f,bcda213b-c99d-4b70-8ead-25b4e94e545d,checkup,,,2019-07-20,,,,,,,2025-12-14 22:33:42.588639,2025-12-14 22:33:42.588639
83eeb178-830e-4120-8ae8-959e1a5c63cc,094911fa-57d6-44d8-8b4f-583fd8a4fab8,treatment,Fiebre aftosa,Oxitetraciclina,2022-02-11,other,,,9 ml,Dr. García López,,2025-12-14 22:33:42.589645,2025-12-14 22:33:42.589645
4213cb66-5643-48de-9f3c-a450155fc8f5,d6fde476-0dda-477c-8fa0-a0a6ee7fdf3f,checkup,,,2020-01-19,,,,,Dr. Rodríguez Pérez,Qué efecto humana.,2025-12-14 22:33:42.589645,2025-12-14 22:33:42.589645
8ba715f8-4ad8-4940-b810-04d5b742eecc,1914a8e7-90ae-4f6d-a281-0056bb7e207d,vaccine,,Levamisol,2025-07-07,intravenous,2025-09-24,,8 ml,Dr. Rodríguez Pérez,,2025-12-14 22:33:42.589645,2025-12-14 22:33:42.589645
26d82a4c-1985-4a20-ae45-95458933e0f6,0ee61ad6-c79c-4b6f-ab63-2739b6609a52,checkup,,,2022-04-30,,,,,Dra. Hernández Ruiz,,2025-12-14 22:33:42.589645,2025-12-14 22:33:42.589645
5dac5ac8-e46c-4a88-98bb-2130ed9ebcbc,e36acfdc-e6c2-46e1-8ab5-576b8308808d,vaccine,,Penicilina,2025-06-30,oral,2025-12-02,,4 ml,Dra. Martínez Silva,Texto pero decisión defensa entonces.,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
9f0e5fba-990f-422f-8495-b5df4a85dedd,1b46effb-ee18-43ad-b175-76198e72deaa,treatment,Mastitis,Albendazol,2024-01-09,oral,,,2 ml,Dr. López González,Respecto existencia mucho juez programas estructura propia algunos.,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
ced2897c-a5c8-4dbd-a980-f63675bf799a,0dc501f5-031c-40c7-87c7-339d2da0bbbc,treatment,Parasitosis,Vitamina A,2022-09-21,topical,,,10 ml,Dr. López González,,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
21325ac8-cff2-4913-b4af-3fb02df8925a,2027cfc1-eb50-4ffa-ad00-7cbe24e21c4b,vaccine,,Antiparasitario,2025-12-08,intravenous,,,8 ml,Dr. García López,Considera embargo constitución casa ahí.,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
0dd414c2-4c0c-4057-b64f-2688d5575d4d,690b7988-0b89-49f4-98b0-0162a1941ca3,vaccine,,Ivermectina,2025-10-05,oral,2026-03-21,,10 ml,Dr. López González,Allá papel pacientes victoria todavía medidas tan.,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
983e09d3-bec5-411f-81ac-14c4cbc0bb4b,690b7988-0b89-49f4-98b0-0162a1941ca3,vaccine,,Vitamina A,2025-04-17,intravenous,2025-06-15,,4 ml,Dra. Hernández Ruiz,Cine película exterior ahora ciencia.,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
510ad479-d0fd-4518-a0fa-99ea2b3878eb,690b7988-0b89-49f4-98b0-0162a1941ca3,vaccine,,Vitamina A,2025-03-21,topical,,,3 ml,,,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
f4b9d992-1ce5-4cad-baa1-b2db0af3519f,01c1749f-6efc-40a8-925d-4bee5edcb869,checkup,,,2022-03-29,,,,,Dr. López González,,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
2190ceed-2933-452d-bfb7-36a845e37b59,01c1749f-6efc-40a8-925d-4bee5edcb869,vaccine,,Vitamina A,2025-03-03,oral,2025-08-09,,9 ml,Dra. Hernández Ruiz,,2025-12-14 22:33:42.590645,2025-12-14 22:33:42.590645
